year_month,detail
1981(昭和56)年2月,受託ソフトウェア開発事業を目的に埼玉県大宮市にて株式会社エポックシステム設立
1982(昭和57)年2月,東京都港区新橋に本社を移転
1984(昭和59)年12月,東京都港区芝大門に本社を移転
1991(平成3)年2月,福岡県福岡市博多区に福岡支社（現福岡営業所）を設立
1995(平成7)年3月,東京都品川区北品川に本社移転
1998(平成10)年1月,株式会社トータルシステムコンサルタントと合併。商号を株式会社エポック・ティーエスシーとする。
1998(平成10)年2月,東京都品川区南品川に本社移転
1998(平成10)年4月,金沢ソフトウエア株式会社（連結子会社）の株式取得。100％子会社とする。
1998(平成10)年11月,株式会社エイ・エス・ジイ テクノの株式取得。100％子会社とする。
1999(平成11)年2月,株式会社エイ・エス・ジイ テクノを吸収合併
2001(平成13)年4月,商号を株式会社ソルクシーズとする。
2001(平成13)年7月,JASDAQ市場に上場（証券コード：4284）資本金を6億5000万円とする。
2001(平成13)年8月,子会社として株式会社ジャパン・ヒューマンソリューション（略称JHS）を設立
2002(平成14)年11月,全社業務を対象にISMSの認証取得（平成15年1月からセキュリティ・コンサルティングサービス開始）
2003(平成15)年3月,株式会社エフ･エフ･ソル（連結子会社）を設立
2003(平成15)年7月,経済産業省「情報セキュリティ監査企業台帳」登録企業となる。
2004(平成16)年5月,中国海口市に海南紐康信息系統有限公司(合弁会社)設立
2004(平成16)年6月,株式会社エンカレッジ・テクノロジに資本参加
2005(平成17)年12月,株式会社イー・アイ・ソル（連結子会社）を設立
2006(平成18)年4月,SBIホールディングス株式会社と資本・業務提携
2006(平成18)年4月,株式会社インタートレードと資本・業務提携
2006(平成18)年4月,第三者割当増資。資本金を10億5200万円とする。
2006(平成18)年6月,金沢ソフトウエア株式会社の全株式譲渡
2006(平成18)年12月,子会社として株式会社シー・エル・ソル（現 株式会社teco）を設立
2007(平成19)年3月,東京都港区芝に本社を移転
2007(平成19)年4月,子会社2社と共にグループとしてISMS（ISO27001）認証を取得
2007(平成19)年5月,株式会社インフィニットコンサルティング（連結子会社）を設立
2007(平成19)年7月,株式会社エーアイと資本・業務提携
2007(平成19)年11月,丸紅株式会社と資本・業務提携
2007(平成19)年11月,第三者割当増資。資本金を14億9450万円とする。
2007(平成19)年11月,株式会社ノイマンの全株式取得。
2007(平成19)年11月,株式会社クインランドのSIPS事業部門を譲受（シー・エル・ソルにて事業承継）
2008(平成20)年1月,株式会社シー・エル・ソルを株式会社tecoに社名変更。
2008(平成20)年3月,株式会社インターコーポレーションの全株式取得（これに伴い、株式会社ディメンションズを孫会社化）
2008(平成20)年9月,株式会社エクスモーション（連結子会社）を設立
2009(平成21)年2月,株式会社ノイマンによる株式の取得により、株式会社ワイ・エス・アールを孫会社化
2009(平成21)年8月,株式会社ディメンションズを子会社化
2009(平成21)年12月,株式会社コアネクスト（連結子会社）を設立
2010(平成22)年3月,株式会社ノイマンとその100％子会社である株式会社ワイ・エス・アールが合併
2010(平成22)年11月,株式会社アスウェア（連結子会社）を設立
2010(平成22)年12月,株式会社インターコーポレーションと株式会社ディメンションズが合併し、株式会社インターディメンションズに社名変更
2012(平成24)年11月,国際品質保証規格ＩＳＯ９００１：２００８認証を取得
2015(平成27)年11月,株式会社ノイマンがアセアン・ドライビングスクール・ネットワーク合同会社設立
2015(平成27)年12月,東京証券取引所市場第二部に市場変更
2016(平成28)年6月,東京証券取引所市場第一部に指定替え
2017(平成29)年4月,ニューイング・ソフト株式会社と資本・業務提携
2017(平成29)年5月,豊田通商株式会社と資本・業務提携
2017(平成29)年6月,株式会社アックスに資本参加
2018(平成30)年7月,ジーフィット株式会社と資本・業務提携
2018(平成30)年7月,株式会社エクスモーションが東京証券取引所マザーズ市場へ上場（証券コード 4394）
2019(平成31)年2月,東京都港区芝浦に本社を移転
2019(令和元)年5月,東京都港区海岸に東京ANNEXを移転
2019(令和元)年5月,株式会社Fleekdrive（連結子会社）を設立
2019(令和元)年12月,株式会社ノイマンが株式会社tecoを吸収合併
2020(令和2)年4月,株式会社アリアドネ・インターナショナル・コンサルティング（連結子会社）資本・業務提携及び株式取得
2021(令和3)年2月,株式会社インターディメンションズの全株式譲渡
2022(令和4)年7月,株式会社eek（連結子会社）を設立
2022(令和4)年11月,株式会社サイバーコアと資本・業務提携
